external	Main_Page	462169705
external	Hyphen-minus	106313499
external	Tunnel	10155582
external	Cook's_Country	8383493
external	XHamster	4458633
external	Venom_(2018_film)	4087241
external	A_Star_Is_Born_(2018_film)	4040553
external	Khabib_Nurmagomedov	3725948
external	Darth_Vader	3250228
external	Freddie_Mercury	2425513
link	Deaths_in_2018	1202372
link	The_Haunting_of_Hill_House_(TV_series)	694982
link	Elizabeth_II	564122
link	Irina_Shayk	513782
link	The_Matrix	492095
link	Halloween_(1978_film)	487687
link	René_Descartes	485056
link	Alice's_Adventures_in_Wonderland	485023
link	Epileptic_seizure	483783
link	Neuron	468490
other	Hyphen-minus	8518474
other	Main_Page	4340160
other	Rabbit_hole	470933
other	Kylie_Minogue	360451
other	Wizardry	321115
other	Jamal_Khashoggi	161957
other	Pineapple	128945
other	Soyuz_MS-10	115084
other	Lion_Air_Flight_610	104806
other	Killing_of_Jamal_Khashoggi	96354
